Q_feature_0,Q_feature_1,Q_feature_2,Q_feature_3,Q_feature_4,Q_feature_5,Q_feature_6,Q_feature_7,label
0.3058862589731126,0.10209889020921398,0.06489570414643375,0.0538413135477645,-0.018723264358105396,0.1127658218928207,-0.002701810919214842,-0.002513768014207718,1
0.4097757621694841,0.38874034769573923,-0.1482784296742387,0.057085485298382754,0.07007829686189804,0.0007816557470256003,0.09039588051397279,0.03628916065108806,0
-0.5568094373452044,-0.3054010541802082,-0.16494455981106093,-0.07564552236227773,0.09259779162771664,-0.020012817828109264,0.03499059526211595,-0.013817358321617734,0
-0.4300319290402368,-0.4097456995861943,-0.011551559067324801,0.08870282622802061,0.16633273391705544,0.11164478335921363,0.08973394225260695,0.06014731384293637,0
-0.2875057640322084,0.15116491428382994,-0.06470976632184067,0.008233877999055339,0.007411254940687728,0.08689037702448199,-0.10505206774539455,0.017907638984169083,1
-0.5568094373452046,-0.30540105418020846,-0.20437433685738393,-0.099205409040999,0.0599609665689797,0.09308149797525828,0.056007224613063566,-0.007147588433706054,0
-0.69037600143645,0.7513920276457972,0.2648321562544068,-0.4100592263143131,-0.02131592444397279,0.11327888138722547,0.10612426520304463,-0.2031747979955606,1
-0.34248451643744826,0.14194403798499178,-0.09105760481593611,0.04220947409224107,-0.013299005676397746,-0.013252422257122864,0.06313237331395033,0.011597248817442951,0
0.5539593288055302,0.1662336096483053,0.011505185596766887,0.08509169113158321,0.08898886496373748,-0.00843538020107798,0.06577204304206263,0.019329166049307844,0
0.34170373901126727,-0.35700289475832725,-0.13510604998332054,0.1173530347336898,-0.08688891329651388,0.030591057958006374,-0.04508373943588534,0.05799629902008213,1
-0.5568094373452044,-0.30540105418020846,-0.20437433685738382,-0.09920540904099906,0.061451621422909664,0.14828177785807722,0.13040181513481813,-0.013525964443596161,0
-0.2875057640322081,0.1921732913509503,-0.5015067008931248,0.03442100599974518,-0.026174364817483198,-0.018341852948067616,-0.003256811516456015,0.00017733131300240457,1
-0.34248451643744815,0.14194403798499183,-0.04084158378283981,0.05710848023225701,-0.008833253568476307,0.042207882106458205,0.08733160073354801,0.0181465885012001,0
-0.5568094373452046,-0.3054010541802083,-0.19410058909504208,-0.09085151030585781,0.05373730850441549,0.04202630033036475,0.04555160426621807,-0.0010183993087421461,0
